Date,Words1,Words2,Words3
1/17/2016,"Frank, wall, Dodd, government, (Economy and Wall Street Regulations)","drug, health, age, care, hospital, (Health Care)","taxes, pay, raise, Street, Wall, class, middle, (Taxes)"
2/4/2016,"war, Russia, (Foreign Policy)",Campaign Finance, (Goldman Sachs campaign Hilary Clinton),"secretary, Clinton, Senator, Sanders, debate, country, candidates, president, (Presidential Race)"
2/11/2016,"Companies, insurance, wall street, drugs, (Pharmaceutical companies)","incarceration, rate, dollars, african, PAC, country, jail, Clinton, (Private Prison Lobbies)","Henry Kissinger, Sanders, secretary, (Foreign Policy)"
3/6/2016,"jobs, bank, people, teachers, corporate, American, Detroit, (2008 economic crisis)","Flint, Michigan, money, Detroit, (Flint Water Crisis)","Auto, bailout, industry, Obama, billion, economy, (Corporate Bailout)"
3/9/2016,"Comprehensive, immigration, reform, children, families, (Immigration)","fossil, fuel, industry, act, change, (Climate Change)","percent, support, government, world, country, Obama, (Foreign Approval)"
10/13/2015,"American, Senator, gun, lives, (Gun Control)","years, Iraq, justice, war, veterans, Vietnam, marine, Iran, (Wars)","jobs, class, millions, america, middle, (jobs)"
11/14/2015,"world, ISIS, American, intelligence, (terrorism)","country, gun, nation, attacked, (Gun Control)","believe, young, percents, today, activism, (Young Voters)"
12/19/2015,"education, college, going, (Higher Education)","Assad, war, Syria, (Syrian Refugee Crisis)","have, more, class, middle, cost, tax, (Tax Policy)"
8/6/2015,"decade, Assad, Iran, (Wars)","budget, jobs, taxes, tax, (Budget or Tax Policy)","people, pro, abortion, law, social, illegal, (Abortion)"
9/16/2015,"planned, parenthood, medical, against, (Planned Parenthood)","Reagan, Ronald, nation, strong, liberty, (Ronald Reagan)","nuclear, deal, Iran, Obama, (Iran Nuclear Deal)"
10/28/2015,"jobs, trillion, taxes, (Jobs)","money, big, business, good, government, (Laissez-faire economy)","money, more, Washington, social, security, problem, federal, (Social Security)"
11/10/2015,"job, deal, trade, bigger, Washington, business, government, countries, growth, (Trade Policy)","world, nation, think, America, power, out, Democrats, (Foreign Approval)","chief, military, important, great, (Military) "
12/15/2015,"ISIS, Barack, Gaddafi, Assad, administration, reckless, (Terrorism)","air, security, ground, military, destroy, world, (Military)","security, border, refugees, immigration, immigrants, (Immigration)"
1/14/2016,"flat, percent, pay, business, money, taxes, (Tax Policy)","ISIS, amendment, second, serious, American, (Gun Control)","Donald, Cruz, disqualified, president, (Allegations on Origin of Birth)"
1/28/2016,"federal, Muslims, record, state, radical, group, leader, ISIS, (Civil Liberties)","amnesty, law, legalization, (Immigration) ","Clinton, military, America, defeat, Obama, (Mudslinging)"
2/6/2016,"domain, eminent, (Emininent domain)","woman, president, job, (Hilary Clinton)","states, issue, government, executive, power, (Executive Orders)"
2/13/2016,"ObamaCare, problem, poverty, income, working, (Healthcare)","Scalia, Constitution, States, United, Obama, (Supreme Court)","Trump, Bush, Florida, down, Ben, liar, (Mudslinging)"
2/25/2016,"John, Kerry, state, Obama, fight, policy, foreign, disaster, (Foreign Policy)","Hispanic, people, Puerto, Rico, (Immigration)","north, Korea, regime, badly, change, (North Korean Foreign Policy)"
3/3/2016,"beat, poll, Trump, Florida, (Trump's victory)","trade, country, money, world, (Trade Policy)","Rubio, back, nominee, support, Cleveland, (RNC)"
3/10/2016,"Cuba, states, United, bad, (Cuban embargo)","bipartisan, government, budget, (Budget)","scientific, climate, reality, Florida, (Climate Change)"
